Bus Name (English),Station 1,Station 2,Station 3,Station 4,Station 5,Station 6,Station 7,Station 8,Station 9,Station 10,Station 11,Station 12,Station 13,Station 14,Station 15,Station 16,Station 17,Station 18,Station 19,Station 20,Station 21,Station 22,Station 23,Station 24,Station 25,Station 26,Station 27,Station 28,Station 29,Station 30,Station 31,Station 32,Station 33,Station 34,Station 35,Station 36,Station 37
Nur E Makka Bus Route,Chiriyakhana,Sony Cinema Hall,Mirpur 2,Mirpur 10,Mirpur 11,Purobi,Kalshi,ECB Square,MES,Shewra,Kuril Bishwaroad,Jamuna Future Park,Bashundhara,Nadda,Notun Bazar,Bashtola,Shahjadpur,Uttar Badda,Badda,Madhya Badda,Merul Badda,Rampura Bridge,Rampura Bazar,Hazipara,Malibagh Railgate,,,,,,,,,,,,
Nabakali Bus Route,Chiriyakhana,Mirpur 1,Ansar Camp,Technical,Kallyanpur,Shyamoli,Shishu Mela,College Gate,Asad Gate,Dhanmondi 27,Shukrabad,Dhanmondi 32,Kalabagan,Science Lab,Katabon,Shahbag,High Court,Fulbaria,Naya Bazar,Babubazar,Keraniganj,,,,,,,,,,,,,,,,
New Vision Bus Route,Chiriyakhana,Mirpur 1,Ansar Camp,Technical,Kallyanpur,Shyamoli,Shishu Mela,College Gate,Asad Gate,Khamar Bari,Farmgate,Kawran Bazar,Bangla Motor,Shahbag,High Court,Press Club,Paltan,Dainik Bangla Moor,Motijheel,,,,,,,,,,,,,,,,,,
Nilachol Bus Route,Chittagong Road,Sign Board,Matuail,Rayerbag,Shanir Akhra,Jatrabari,Sayedabad,Gulistan,Chankhar Pul,Bakshi Bazar,Azimpur,Nilkhet,New Market,City College,Kalabagan,Dhanmondi 32,Dhanmondi 27,Asad Gate,College Gate,Shishu Mela,Shyamoli,Kallyanpur,Darussalam,Technical,Gabtoli,Amin Bazar,Hemayetpur,Savar,Nobinagar,Manikganj,Paturia,,,,,,
Nishorgo Bus Route,Mirpur 14,Mirpur 10,Kazipara,Shewrapara,Taltola,Agargaon,Asad Gate,Shyamoli,Mohammadpur,Shankar,Dhanmondi 15,Jigatola,Science Lab,New Market,Nilkhet,Eden College,Azimpur,,,,,,,,,,,,,,,,,,,,
Omama International Bus Route,Motijheel,Dainik Bangla Moor,Paltan,Press Club,Matsya Bhaban,High Court,Shahbag,Bangla Motor,Kawran Bazar,Farmgate,Jahangir Gate,Mohakhali,Chairman Bari,Sainik Club,Banani,Kakoli,Staff Road,MES,Shewra,Kuril Bishwaroad,Khilkhet,Airport,,,,,,,,,,,,,,,
One Transport Bus Route,Nandan Park,Zirani Bazar,Baipail,Nobinagar,Savar,Hemayetpur,Amin Bazar,Gabtoli,Technical,Kallyanpur,Shyamoli,Shishu Mela,College Gate,Asad Gate,Khamar Bari,Farmgate,Kawran Bazar,Bangla Motor,Shahbag,High Court,Press Club,Paltan,GPO,Gulistan,Motijheel,,,,,,,,,,,,
Pallabi Local Service Bus Route,Asad Gate,College Gate,Shishu Mela,Shyamoli,Kallyanpur,Technical,Mirpur 1,Sony Cinema Hall,Mirpur 2,Chalantika Moor,Mirpur 6,Mirpur 11,Mirpur 12,,,,,,,,,,,,,,,,,,,,,,,,
Pallabi Super Bus Route,Gabtoli,Technical,Ansar Camp,Mirpur 1,Sony Cinema Hall,Mirpur 2,Mirpur 10,Mirpur 11,Purobi,Kalshi,ECB Square,MES,Shewra,Kuril Bishwaroad,Khilkhet,Airport,Uttara ,Rajlakshmi,Azampur,House Building,Abdullahpur,Kamarpara,,,,,,,,,,,,,,,
Paristhan Bus Route,Bosila,Mohammadpur,Asad Gate,College Gate,Shyamoli,Kallyanpur,Darussalam,Technical,Bangla College,Tolarbag,Ansar Camp,Mirpur 1,Mirpur 2,Mirpur 10,Mirpur 11,Purobi,Kalshi,ECB Square,MES,Shewra,Kuril Bishwaroad,Khilkhet,Airport,Uttara ,Rajlakshmi,House Building,Abdullahpur,,,,,,,,,,
Power Paribahan Bus Route,Mirpur 14,Mirpur 10,Mirpur 2,Sony Cinema Hall,Mirpur 1,Mazar Road,Konabari,Rupnagar,Beribadh,Birulia,Ashulia Bazar,Zirabo,Narshingpur,Surabari,Jarun,Konabari,,,,,,,,,,,,,,,,,,,,,
Prattay Bus Route,Gabtoli,Beribadh Tin Rastar Moor,Rayer Bazar,Sikder Medical College,Hazaribag,Kamrangirchar,Showari Ghat,Babubazar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prochesta Bus Route,Maowa,Keraniganj,Babubazar,Naya Bazar,Golap Shah Mazar,GPO,Paltan,Kakrail,Shantinagar,Malibaag Moor,Mouchak,Malibagh Railgate,Hazipara,Rampura Bazar,Rampura Bridge,Merul Badda,Badda,Uttar Badda,Shahjadpur,Bashtola,Notun Bazar,Nadda,Bashundhara,Jamuna Future Park,Kuril Bishwaroad,Khilkhet,Airport,Uttara ,Rajlakshmi,Azampur,House Building,Abdullahpur,,,,,
Projapati Bus Route,Bosila,Mohammadpur,Asad Gate,College Gate,Shyamoli,Kallyanpur,Darussalam,Technical,Bangla College,Ansar Camp,Mirpur 1,Mirpur 2,Mirpur 10,Mirpur 11,Purobi,Kalshi,ECB Square,MES,Shewra,Kuril Bishwaroad,Khilkhet,Airport,Uttara ,Rajlakshmi,House Building,Abdullahpur,Kamarpara,,,,,,,,,,
Provati Banasree Bus Route,Fulbaria,Golap Shah Mazar,GPO,Paltan,Kakrail,Shantinagar,Malibaag Moor,Mogbazar,Satrasta,Nabisco,Mohakhali,Chairman Bari,Banani,Kakoli,Staff Road,MES,Shewra,Kuril Bishwaroad,Khilkhet,Airport,Uttara ,Rajlakshmi,Azampur,House Building,Abdullahpur,Tongi,Station Road,Mill Gate,Board Bazar,Gazipur Chowrasta,Joydebpur,Sreepur,Bormi,,,,
Purbachol Logistics and Transport Bus Route,Mirpur 14,Mirpur 10,Mirpur 2,Sony Cinema Hall,Mirpur 1,Ansar Camp,Technical,Gabtoli,Amin Bazar,Hemayetpur,Savar,Baipail,Zirani Bazar,Nandan Park,Chandra,,,,,,,,,,,,,,,,,,,,,,
Raida Bus Route Dhaka,Postogola,Dholairpar,Jatrabari,Janapoth Moor,Sayedabad,Mugda,Bashabo,Khilgaon,Malibagh Railgate,Rampura Bazar,Rampura Bridge,Merul Badda,Badda,Uttar Badda,Bashtola,Notun Bazar,Nadda,Bashundhara,Jamuna Future Park,Kuril Chourasta,Kuril Bishwaroad,Khilkhet,Airport,Uttara ,Rajlakshmi,Azampur,House Building,Diabari,,,,,,,,,
Raja City Bus Route Dhaka,Postogola,Jurain,Dayagonj,Gulistan,GPO,Paltan,Press Club,High Court,Shahbag,Bata Signal,Science Lab,City College,Jigatola,Dhanmondi 15,Star Kabab,Shankar,Mohammadpur,Bosila,Ghatar Char,,,,,,,,,,,,,,,,,,
Rajanigandha Bus Route Dhaka,Chittagong Road,Sign Board,Matuail,Rayerbag,Shanir Akhra,Jatrabari,Sayedabad,Gulistan,GPO,Paltan,Press Club,High Court,Shahbag,Bata Signal,Science Lab,Jigatola,Dhanmondi,Star Kabab,Shankar,Mohammadpur,,,,,,,,,,,,,,,,,
Rajdhani Super Bus Route Dhaka,Hemayetpur,Gabtoli,Technical,Ansar Camp,Mirpur 1,Sony Cinema Hall,Mirpur 2,Mirpur 10,Mirpur 11,Purobi,Kalshi,ECB Square,MES,Shewra,Kuril Bishwaroad,Jamuna Future Park,Bashundhara,Nadda,Notun Bazar,Bashtola,Shahjadpur,Uttar Badda,Badda,Madhya Badda,Merul Badda,Rampura Bridge,Banasree,Demra Staff Quarter,,,,,,,,,
Rajdhani Super Bus Route Dhaka,Hemayetpur,Gabtoli,Technical,Ansar Camp,Mirpur 1,Sony Cinema Hall,Mirpur 2,Mirpur 10,Mirpur 11,Purobi,Kalshi,ECB Square,MES,Shewra,Kuril Bishwaroad,Jamuna Future Park,Bashundhara,Nadda,Notun Bazar,Bashtola,Shahjadpur,Uttar Badda,Badda,Madhya Badda,Merul Badda,Rampura Bridge,Banasree,Demra Staff Quarter,,,,,,,,,
Robrob Bus Route Dhaka,Gabtoli,Technical,Ansar Camp,Mirpur 1,Mirpur 2,Mirpur 10,Purobi,Kalshi,ECB Square,MES,Banani,Kakoli,Abdullahpur,Abdullahpur,Badda Link Road,Merul Badda,Rampura Bridge,Banasree,,,,,,,,,,,,,,,,,,,
Rois Bus Route Dhaka,Sony Cinema Hall,Mirpur 2,Mirpur 10,Kazipara,Shewrapara,Agargaon,Mohakhali,Abdullahpur,Badda,Rampura Bridge,Banasree,,,,,,,,,,,,,,,,,,,,,,,,,,
Rongdhonu Express Bus Route Dhaka,Adabor,Mohammadpur,Mohammadpur Shia Mosque,Shyamoli,College Gate,Asad Gate,Kalabagan,Science Lab,Katabon,Bata Signal,Shahbag,Kakrail,Fakirapul,Motijheel,Dayagonj,Postogola,,,,,,,,,,,,,,,,,,,,,
