From Point,To Point,Distance (km),Fare (BDT),,,,,,,,,,,,,,,
Malibagh,Fakirapul,2,10,,,,,,,,,,,,,,,
Malibagh,Fantasy Kingdom,32.6,80,,,,,,,,,,,,,,,
Malibagh,Farmgate,3.8,10,,,,,,,,,,,,,,,
Malibagh,Gazipur,38,93,,,,,,,,,,,,,,,
Malibagh,Gulshan 1,8.6,21,,,,,,,,,,,,,,,
Malibagh,Gulshan 2,10.2,25,,,,,,,,,,,,,,,
Malibagh,House Building,16.4,40,,,,,,,,,,,,,,,
Malibagh,Janapath Moor,5.4,13,,,,,,,,,,,,,,,
Malibagh,Jatrabari,6.1,15,,,,,,,,,,,,,,,
Malibagh,Kakoli,7.2,18,,,,,,,,,,,,,,,
Malibagh,Kakrail,0.9,10,,,,,,,,,,,,,,,
Malibagh,Kamalapur Peer Janghi Mazar,3,10,,,,,,,,,,,,,,,
Malibagh,Kamarpara,18.6,46,,,,,,,,,,,,,,,
Malibagh,Khilkhet,9.9,24,,,,,,,,,,,,,,,
Malibagh,Kuril Bishwaroad,8.9,22,,,,,,,,,,,,,,,
Malibagh,Madhy Badda,4.4,11,,,,,,,,,,,,,,,
Malibagh,Maniknagar,3.7,10,,,,,,,,,,,,,,,
Malibagh,Mirpur 1,20.1,49,,,,,,,,,,,,,,,
Malibagh,Mirpur 12,15.3,37,,,,,,,,,,,,,,,
Malibagh,Mirpur 2,18.8,46,,,,,,,,,,,,,,,
Malibagh,Mogbazar,1.3,10,,,,,,,,,,,,,,,
Malibagh,Mohakhali,8,20,,,,,,,,,,,,,,,
Malibagh,Mouchak,0.3,10,,,,,,,,,,,,,,,
Malibagh,Narayanganj Link Road,11.2,27,,,,,,,,,,,,,,,
Malibagh,Notun Bazar,6.3,15,,,,,,,,,,,,,,,
Malibagh,Pragati Sarani,6,15,,,,,,,,,,,,,,,
Malibagh,Purobi,14.3,35,,,,,,,,,,,,,,,
Malibagh,Rampura,2.4,10,,,,,,,,,,,,,,,
Malibagh,Sadarghat Victoria Park,4.8,12,,,,,,,,,,,,,,,
Malibagh,Satrasta,4,10,,,,,,,,,,,,,,,
Malibagh,Sayedabad,5.1,12,,,,,,,,,,,,,,,
Malibagh,Sign Board,11.1,27,,,,,,,,,,,,,,,
Malibagh,TV Center,2.4,10,,,,,,,,,,,,,,,
Malibagh,Tongi,16.5,40,,,,,,,,,,,,,,,
Malibagh,Tongi Bastuhara,21.1,52,,,,,,,,,,,,,,,
Malibagh,Tongi Bazar,20,49,,,,,,,,,,,,,,,
Malibagh,Zirabo,28.3,69,,,,,,,,,,,,,,,
Malibagh Chowdhuripara,Jatrabari,6.8,17,,,,,,,,,,,,,,,
Malibagh Chowdhuripara,Mugda,4,10,,,,,,,,,,,,,,,
Malibagh Chowdhuripara,Sayedabad,5.8,14,,,,,,,,,,,,,,,
Malibagh Railgate,Abdullahpur,16.4,40,,,,,,,,,,,,,,,
Malibagh Railgate,Airport,13,32,,,,,,,,,,,,,,,
Malibagh Railgate,Asad Gate,5.9,14,,,,,,,,,,,,,,,
Malibagh Railgate,Azampur,15,37,,,,,,,,,,,,,,,
Malibagh Railgate,Azimpur,7.2,18,,,,,,,,,,,,,,,
Malibagh Railgate,Babubazar,5.6,14,,,,,,,,,,,,,,,
Malibagh Railgate,Badda,3.7,10,,,,,,,,,,,,,,,
Malibagh Railgate,Banasree,3.6,10,,,,,,,,,,,,,,,
Malibagh Railgate,Bashabo,2.2,10,,,,,,,,,,,,,,,
Malibagh Railgate,Bashtola,5.3,13,,,,,,,,,,,,,,,
Malibagh Railgate,Bashundhara,7.2,18,,,,,,,,,,,,,,,
Malibagh Railgate,Bata Signal,4.3,11,,,,,,,,,,,,,,,
Malibagh Railgate,Board Bazar,24,59,,,,,,,,,,,,,,,
Malibagh Railgate,Chasara,18.9,46,,,,,,,,,,,,,,,
Malibagh Railgate,Chiriyakhana,20.3,50,,,,,,,,,,,,,,,
Malibagh Railgate,City College,5,12,,,,,,,,,,,,,,,
Malibagh Railgate,College Gate,6.8,17,,,,,,,,,,,,,,,
Malibagh Railgate,Demra Staff Quarter,7,17,,,,,,,,,,,,,,,
Malibagh Railgate,Dhanmondi 15,6.7,16,,,,,,,,,,,,,,,
Malibagh Railgate,Dholairpar,6.9,17,,,,,,,,,,,,,,,
Malibagh Railgate,ECB Square,12.3,30,,,,,,,,,,,,,,,
Malibagh Railgate,GPO,3,10,,,,,,,,,,,,,,,
Malibagh Railgate,Gabtoli,10.4,25,,,,,,,,,,,,,,,
Malibagh Railgate,Gazipur Bypass,27.8,68,,,,,,,,,,,,,,,
Malibagh Railgate,Gazipur Chowrasta,29.1,71,,,,,,,,,,,,,,,
Malibagh Railgate,Golap Shah Mazar,3.2,10,,,,,,,,,,,,,,,
Malibagh Railgate,Gulistan,3.4,10,,,,,,,,,,,,,,,
Malibagh Railgate,Hazipara,1,10,,,,,,,,,,,,,,,
Malibagh Railgate,House Building,15.5,38,,,,,,,,,,,,,,,
Malibagh Railgate,Jalkuri,14.5,36,,,,,,,,,,,,,,,
Malibagh Railgate,Jamuna Future Park,7.3,18,,,,,,,,,,,,,,,
Malibagh Railgate,Janapoth Moor,5.9,14,,,,,,,,,,,,,,,
Malibagh Railgate,Jatrabari,6.5,16,,,,,,,,,,,,,,,
Malibagh Railgate,Jigatola,6,15,,,,,,,,,,,,,,,
Malibagh Railgate,Jurain,7.8,19,,,,,,,,,,,,,,,
Malibagh Railgate,Kakrail,1.7,10,,,,,,,,,,,,,,,
Malibagh Railgate,Kallyanpur,8.3,20,,,,,,,,,,,,,,,
Malibagh Railgate,Kalshi,14,34,,,,,,,,,,,,,,,
Malibagh Railgate,Katabon,4.1,10,,,,,,,,,,,,,,,
Malibagh Railgate,Keraniganj,6.9,17,,,,,,,,,,,,,,,
Malibagh Railgate,Khilgaon,1.2,10,,,,,,,,,,,,,,,
Malibagh Railgate,Khilkhet,10,25,,,,,,,,,,,,,,,
Malibagh Railgate,Kuril Bishwaroad,7.9,19,,,,,,,,,,,,,,,
Malibagh Railgate,Kuril Chowrasta,7.7,19,,,,,,,,,,,,,,,
Malibagh Railgate,MES,9.8,24,,,,,,,,,,,,,,,
Malibagh Railgate,Madhya Badda,3.4,10,,,,,,,,,,,,,,,
Malibagh Railgate,Malibaag Moor,0.8,10,,,,,,,,,,,,,,,
Malibagh Railgate,Maowa,38.5,94,,,,,,,,,,,,,,,
Malibagh Railgate,Matsya Bhaban,2.6,10,,,,,,,,,,,,,,,
Malibagh Railgate,Matuail,10.3,25,,,,,,,,,,,,,,,
Malibagh Railgate,Merul Badda,2.7,10,,,,,,,,,,,,,,,
Malibagh Railgate,Mill Gate,18.3,45,,,,,,,,,,,,,,,
Malibagh Railgate,Mirpur 10,16.8,41,,,,,,,,,,,,,,,
Malibagh Railgate,Mirpur 11,15.9,39,,,,,,,,,,,,,,,
Malibagh Railgate,Mirpur 2,17.5,43,,,,,,,,,,,,,,,
Malibagh Railgate,Mohammadpur,9.5,23,,,,,,,,,,,,,,,
Malibagh Railgate,Motijheel,4.5,11,,,,,,,,,,,,,,,
Malibagh Railgate,Mouchak,0.5,10,,,,,,,,,,,,,,,
Malibagh Railgate,Mugda,3.2,10,,,,,,,,,,,,,,,
Malibagh Railgate,Nadda,7,17,,,,,,,,,,,,,,,
Malibagh Railgate,Naya Bazar,5,12,,,,,,,,,,,,,,,
Malibagh Railgate,New Market,6.4,16,,,,,,,,,,,,,,,
Malibagh Railgate,Nilkhet,6.6,16,,,,,,,,,,,,,,,
Malibagh Railgate,Notun Bazar,5.6,14,,,,,,,,,,,,,,,
Malibagh Railgate,Paltan,2.7,10,,,,,,,,,,,,,,,
Malibagh Railgate,Postogola,8.1,20,,,,,,,,,,,,,,,
Malibagh Railgate,Purobi,15.4,38,,,,,,,,,,,,,,,
Malibagh Railgate,Rajlakshmi,14.7,36,,,,,,,,,,,,,,,
Malibagh Railgate,Rampura Bazar,1.3,10,,,,,,,,,,,,,,,
Malibagh Railgate,Rampura Bridge,2.2,10,,,,,,,,,,,,,,,
Malibagh Railgate,Ray Saheb Bazar,4.8,12,,,,,,,,,,,,,,,
Malibagh Railgate,Rayerbag,8.6,21,,,,,,,,,,,,,,,
Malibagh Railgate,Sadarghat Victoria Park,5.3,13,,,,,,,,,,,,,,,
Malibagh Railgate,Sayedabad,5.5,13,,,,,,,,,,,,,,,
Malibagh Railgate,Science Lab,5.5,13,,,,,,,,,,,,,,,
Malibagh Railgate,Shahbag,3.6,10,,,,,,,,,,,,,,,
Malibagh Railgate,Shahjadpur,5,12,,,,,,,,,,,,,,,
Malibagh Railgate,Shanir Akhra,7.8,19,,,,,,,,,,,,,,,
Malibagh Railgate,Shankar,7.5,18,,,,,,,,,,,,,,,
Malibagh Railgate,Shantinagar,1.2,10,,,,,,,,,,,,,,,
Malibagh Railgate,Shewra,8.7,21,,,,,,,,,,,,,,,
Malibagh Railgate,Shibu Market,18,44,,,,,,,,,,,,,,,
Malibagh Railgate,Shishu Mela,7.5,18,,,,,,,,,,,,,,,
Malibagh Railgate,Shyamoli,7.8,19,,,,,,,,,,,,,,,
Malibagh Railgate,Sign Board,11.2,27,,,,,,,,,,,,,,,
Malibagh Railgate,Sony Cinema Hall,18.5,45,,,,,,,,,,,,,,,
Malibagh Railgate,South Banasree,5,12,,,,,,,,,,,,,,,
Malibagh Railgate,Star Kabab,7,17,,,,,,,,,,,,,,,
Malibagh Railgate,Station Road,17.8,44,,,,,,,,,,,,,,,
Malibagh Railgate,Technical,9.4,23,,,,,,,,,,,,,,,
Malibagh Railgate,Tongi,19.8,49,,,,,,,,,,,,,,,
Malibagh Railgate,Uttar Badda,4.3,11,,,,,,,,,,,,,,,
Malibagh Railgate,Uttara Jashumuddin,14.3,35,,,,,,,,,,,,,,,
Manikdi ECB More,Kalshi,1.1,10,,,,,,,,,,,,,,,
Manikdi ECB More,Mirpur 11,3.1,10,,,,,,,,,,,,,,,
Manikdi ECB More,Mirpur 10,4.2,10,,,,,,,,,,,,,,,
Manikdi ECB More,Kazipara,5.3,13,,,,,,,,,,,,,,,
Manikdi ECB More,Shewrapara,6.2,15,,,,,,,,,,,,,,,
Manikdi ECB More,Agargaon,7.8,19,,,,,,,,,,,,,,,
Manikdi ECB More,Shishu Mela,9.3,23,,,,,,,,,,,,,,,
Manikdi ECB More,College Gate,9.8,24,,,,,,,,,,,,,,,
Manikdi ECB More,Shukrabad,11.9,29,,,,,,,,,,,,,,,
Manikdi ECB More,New Market,14.1,35,,,,,,,,,,,,,,,
Manikdi ECB More,Azimpur,15.3,37,,,,,,,,,,,,,,,
Manik Mia Avenue,Abdullahpur,16.5,40,,,,,,,,,,,,,,,
Manik Mia Avenue,Airport,13.1,32,,,,,,,,,,,,,,,
Manik Mia Avenue,Ashulia,25.5,62,,,,,,,,,,,,,,,
Manik Mia Avenue,Azampur,15.9,39,,,,,,,,,,,,,,,
Manik Mia Avenue,Azimpur,6.1,15,,,,,,,,,,,,,,,
Manik Mia Avenue,Banani,5.2,13,,,,,,,,,,,,,,,
Manik Mia Avenue,Chankhar Pul,5.6,14,,,,,,,,,,,,,,,
Manik Mia Avenue,City College,2.1,10,,,,,,,,,,,,,,,
Manik Mia Avenue,Dhakeshwari Orphanage,4.7,12,,,,,,,,,,,,,,,
Manik Mia Avenue,Farmgate,1.8,10,,,,,,,,,,,,,,,
Manik Mia Avenue,Kurmitola General Hospital,8.2,20,,,,,,,,,,,,,,,
Manik Mia Avenue,Mohakhali,4.3,11,,,,,,,,,,,,,,,
Manik Mia Avenue,Nandan Park,45.4,111,,,,,,,,,,,,,,,
Manik Mia Avenue,New Market,3.1,10,,,,,,,,,,,,,,,
Manik Mia Avenue,Nilkhet,3.2,10,,,,,,,,,,,,,,,
Manik Mia Avenue,Shanir Akhra,11.6,28,,,,,,,,,,,,,,,
Manik Mia Avenue,Shukrabad,1,10,,,,,,,,,,,,,,,
Manik Mia Avenue,Sign Board,15.3,37,,,,,,,,,,,,,,,
Manik Mia Avenue,Tongi,23.3,57,,,,,,,,,,,,,,,
Manik Mia Avenue,Urojahaj Crossing,0.7,10,,,,,,,,,,,,,,,
Manikganj,Baniajuri,7.1,17,,,,,,,,,,,,,,,
Manikganj,Borongail,13.1,32,,,,,,,,,,,,,,,
Manikganj,Paturia,27.3,67,,,,,,,,,,,,,,,
Manikganj,Utholi,19.7,48,,,,,,,,,,,,,,,
Maniknagar,Abdullahpur,20.1,49,,,,,,,,,,,,,,,
Maniknagar,Airport,16.4,40,,,,,,,,,,,,,,,
Maniknagar,Badda,7.9,19,,,,,,,,,,,,,,,
Maniknagar,Bashabo,2,10,,,,,,,,,,,,,,,
Maniknagar,Dhour,25.6,63,,,,,,,,,,,,,,,
Maniknagar,Jatrabari,2.4,10,,,,,,,,,,,,,,,
Maniknagar,Kamarpara,22.3,55,,,,,,,,,,,,,,,
Maniknagar,Khilkhet,13.6,33,,,,,,,,,,,,,,,
Maniknagar,Kuril Bishwaroad,12.6,31,,,,,,,,,,,,,,,
Maniknagar,Malibagh,3.7,10,,,,,,,,,,,,,,,
Maniknagar,Notun Bazar,10,25,,,,,,,,,,,,,,,
Maniknagar,Rampura,6.1,15,,,,,,,,,,,,,,,
Maniknagar,Sayedabad,1.4,10,,,,,,,,,,,,,,,
Maniknagar,Sign Board,7.4,18,,,,,,,,,,,,,,,
Maona Chowrasta,Bormi,17.5,43,,,,,,,,,,,,,,,
Maona Chowrasta,Sreepur,10.6,26,,,,,,,,,,,,,,,
Mascot Plaza,Airport,2,10,,,,,,,,,,,,,,,
Mascot Plaza,Badda,12.1,30,,,,,,,,,,,,,,,
Mascot Plaza,Jatrabari,22.3,55,,,,,,,,,,,,,,,
Mascot Plaza,Khilgaon Flyover,18.2,45,,,,,,,,,,,,,,,
Mascot Plaza,Kuril,6,15,,,,,,,,,,,,,,,
Mascot Plaza,Notun Bazar,9.6,24,,,,,,,,,,,,,,,
Mascot Plaza,Postogola,24.8,61,,,,,,,,,,,,,,,
Mascot Plaza,Rampura,14.2,35,,,,,,,,,,,,,,,
Mascot Plaza,Sayedabad,20.9,51,,,,,,,,,,,,,,,
Mascot Plaza,TT Para,19.9,49,,,,,,,,,,,,,,,
Matsya Bhaban,Asad Gate,5.1,12,,,,,,,,,,,,,,,
Matsya Bhaban,Bangla Motor,1.8,10,,,,,,,,,,,,,,,
Matsya Bhaban,Bosila,8.56,21,,,,,,,,,,,,,,,
Matsya Bhaban,Bosila CNG Stand,6.9,17,,,,,,,,,,,,,,,
Matsya Bhaban,Demra Staff Quarter,11.75,29,,,,,,,,,,,,,,,
Matsya Bhaban,Fakirapul,1.94,10,,,,,,,,,,,,,,,
Matsya Bhaban,Farmgate,3.1,10,,,,,,,,,,,,,,,
Matsya Bhaban,Ghatar Char,10.39,25,,,,,,,,,,,,,,,
Matsya Bhaban,Gulistan,1.7,10,,,,,,,,,,,,,,,
Matsya Bhaban,Kajla,6.47,16,,,,,,,,,,,,,,,
Matsya Bhaban,Kakrail,0.78,10,,,,,,,,,,,,,,,
Matsya Bhaban,Kawran Bazar,2.24,10,,,,,,,,,,,,,,,
Matsya Bhaban,Konapara,9.37,23,,,,,,,,,,,,,,,
Matsya Bhaban,Mohammadpur Bosila Road,6.67,16,,,,,,,,,,,,,,,
Matsya Bhaban,Mohammadpur Bus Stand,6.25,15,,,,,,,,,,,,,,,
Matsya Bhaban,Motijheel Hirajhil,3.06,10,,,,,,,,,,,,,,,
Matsya Bhaban,Notre Dame College,2.48,10,,,,,,,,,,,,,,,
Matsya Bhaban,Paltan,1,10,,,,,,,,,,,,,,,
Matsya Bhaban,Press Club,0.6,10,,,,,,,,,,,,,,,
Matsya Bhaban,Shahbag,2.2,10,,,,,,,,,,,,,,,
Matsya Bhaban,Shanir Akhra,6.7,16,,,,,,,,,,,,,,,
Matsya Bhaban,Sign Board,10.3,25,,,,,,,,,,,,,,,
Matsya Bhaban,Tikatuli,3.64,10,,,,,,,,,,,,,,,
Matsya Bhaban,Town Hall,5.8,14,,,,,,,,,,,,,,,
Matsya Bhaban,Washpur,9.44,23,,,,,,,,,,,,,,,
Matuail,Abdullahpur,,10,,,,,,,,,,,,,,,
Matuail,Agargaon,,10,,,,,,,,,,,,,,,
Matuail,Airport,,10,,,,,,,,,,,,,,,
Matuail,Amin Bazar,21,51,,,,,,,,,,,,,,,
Matuail,Ansar Camp,19.8,49,,,,,,,,,,,,,,,
Matuail,Asad Gate,14.7,36,,,,,,,,,,,,,,,
Matuail,Azampur,,10,,,,,,,,,,,,,,,
Matuail,Azimpur,,10,,,,,,,,,,,,,,,
Matuail,Baipail,,10,,,,,,,,,,,,,,,
Matuail,Bakshi Bazar,,10,,,,,,,,,,,,,,,
Matuail,Bangla Motor,11.2,27,,,,,,,,,,,,,,,
Matuail,Bashabo,8.2,20,,,,,,,,,,,,,,,
Matuail,Bashtola,14.9,37,,,,,,,,,,,,,,,
Matuail,Bashundhara,,10,,,,,,,,,,,,,,,
Matuail,Bata Signal,,10,,,,,,,,,,,,,,,
Matuail,Bijoy Sarani,,10,,,,,,,,,,,,,,,
Matuail,Board Bazar,,10,,,,,,,,,,,,,,,
Matuail,Bosila,,10,,,,,,,,,,,,,,,
Matuail,Chandra,,10,,,,,,,,,,,,,,,
Matuail,Chankhar Pul,,10,,,,,,,,,,,,,,,
Matuail,Chasara,,10,,,,,,,,,,,,,,,
Matuail,Chiriyakhana,,10,,,,,,,,,,,,,,,
Matuail,Chittagong Road,4.4,11,,,,,,,,,,,,,,,
Matuail,City College,,10,,,,,,,,,,,,,,,
Matuail,College Gate,,10,,,,,,,,,,,,,,,
Matuail,Dainik Bangla Moor,,10,,,,,,,,,,,,,,,
Matuail,Darussalam,,10,,,,,,,,,,,,,,,
Matuail,Dhakeshwari,,10,,,,,,,,,,,,,,,
Matuail,Dhanmondi,,10,,,,,,,,,,,,,,,
Matuail,Dhanmondi 15,,10,,,,,,,,,,,,,,,
Matuail,Dhanmondi 27,,10,,,,,,,,,,,,,,,
Matuail,Dhanmondi 32,,10,,,,,,,,,,,,,,,
Matuail,Farmgate,,10,,,,,,,,,,,,,,,
Matuail,GPO,,10,,,,,,,,,,,,,,,
Matuail,Gabtoli,,10,,,,,,,,,,,,,,,
Matuail,Gazipur Bypass,43.7,107,,,,,,,,,,,,,,,
Matuail,Gazipur Chowrasta,,10,,,,,,,,,,,,,,,
Matuail,Ghatar Char,,10,,,,,,,,,,,,,,,
Matuail,Golapbagh,5.5,13,,,,,,,,,,,,,,,
Matuail,Gulistan,7.1,17,,,,,,,,,,,,,,,
Matuail,Hazipara,12.2,30,,,,,,,,,,,,,,,
Matuail,Hemayetpur,,10,,,,,,,,,,,,,,,
Matuail,High Court,,10,,,,,,,,,,,,,,,
Matuail,House Building,,10,,,,,,,,,,,,,,,
Matuail,IDB,15.6,38,,,,,,,,,,,,,,,
Matuail,Ittefaq Moor,,10,,,,,,,,,,,,,,,
Matuail,Jalkuri,4.8,12,,,,,,,,,,,,,,,
Matuail,Jamuna Future Park,,10,,,,,,,,,,,,,,,
Matuail,Janapoth Moor,,10,,,,,,,,,,,,,,,
Matuail,Jatrabari,,10,,,,,,,,,,,,,,,
Matuail,Jigatola,,10,,,,,,,,,,,,,,,
Matuail,Kajla,3.3,10,,,,,,,,,,,,,,,
Matuail,Kakrail,,10,,,,,,,,,,,,,,,
Matuail,Kalabagan,,10,,,,,,,,,,,,,,,
Matuail,Kallyanpur,,10,,,,,,,,,,,,,,,
Matuail,Kanchpur Bridge,,10,,,,,,,,,,,,,,,
Matuail,Kawran Bazar,,10,,,,,,,,,,,,,,,
Matuail,Kazipara,,10,,,,,,,,,,,,,,,
Matuail,Khamar Bari,,10,,,,,,,,,,,,,,,
Matuail,Khilgaon flyover,,10,,,,,,,,,,,,,,,
Matuail,Khilkhet,,10,,,,,,,,,,,,,,,
Matuail,Kuril Bishwaroad,,10,,,,,,,,,,,,,,,
Matuail,Madanpur,,10,,,,,,,,,,,,,,,
Matuail,Malibaag Moor,11.1,27,,,,,,,,,,,,,,,
Matuail,Malibagh Railgate,10.3,25,,,,,,,,,,,,,,,
Matuail,Manikganj,,10,,,,,,,,,,,,,,,
Matuail,Maniknagar,,10,,,,,,,,,,,,,,,
Matuail,Matsya Bhaban,,10,,,,,,,,,,,,,,,
Matuail,Merul Badda,,10,,,,,,,,,,,,,,,
Matuail,Metro Hall,,10,,,,,,,,,,,,,,,
Matuail,Mill Gate,,10,,,,,,,,,,,,,,,
Matuail,Mirpur 1,,10,,,,,,,,,,,,,,,
Matuail,Mirpur 10,,10,,,,,,,,,,,,,,,
Matuail,Mirpur 11,,10,,,,,,,,,,,,,,,
Matuail,Mirpur 12,,10,,,,,,,,,,,,,,,
Matuail,Mogbazar,,10,,,,,,,,,,,,,,,
Matuail,Mohammadpur,,10,,,,,,,,,,,,,,,
Matuail,Motijheel,,10,,,,,,,,,,,,,,,
Matuail,Mouchak,,10,,,,,,,,,,,,,,,
Matuail,Mugda,,10,,,,,,,,,,,,,,,
Matuail,Nadda,,10,,,,,,,,,,,,,,,
Matuail,Nandan Park,,10,,,,,,,,,,,,,,,
Matuail,New Market,,10,,,,,,,,,,,,,,,
Matuail,Nilkhet,,10,,,,,,,,,,,,,,,
Matuail,Nabinagar,,10,,,,,,,,,,,,,,,
Matuail,Notun Bazar,,10,,,,,,,,,,,,,,,
Matuail,Pallabi,,10,,,,,,,,,,,,,,,
Matuail,Paltan,,10,,,,,,,,,,,,,,,
Matuail,Paturia,,10,,,,,,,,,,,,,,,
Matuail,Press Club,,10,,,,,,,,,,,,,,,
Matuail,Purobi,,10,,,,,,,,,,,,,,,
Matuail,Rajarbag,,10,,,,,,,,,,,,,,,
Matuail,Rajlakshmi,,10,,,,,,,,,,,,,,,
Matuail,Rampura Bazar,,10,,,,,,,,,,,,,,,
Matuail,Rampura Bridge,,10,,,,,,,,,,,,,,,
Matuail,Rayerbag,,10,,,,,,,,,,,,,,,
Matuail,Sanarpar,,10,,,,,,,,,,,,,,,
Matuail,Savar,,10,,,,,,,,,,,,,,,
Matuail,Sayedabad,,10,,,,,,,,,,,,,,,
Matuail,Science Lab,,10,,,,,,,,,,,,,,,
Matuail,Shahbag,,10,,,,,,,,,,,,,,,
Matuail,Shahjadpur,,10,,,,,,,,,,,,,,,
Matuail,Shanir Akhra,,10,,,,,,,,,,,,,,,
Matuail,Shankar,,10,,,,,,,,,,,,,,,
Matuail,Shewrapara,,10,,,,,,,,,,,,,,,
Matuail,Shibu Market,,10,,,,,,,,,,,,,,,
Matuail,Shishu Mela,,10,,,,,,,,,,,,,,,
Matuail,Shyamoli,,10,,,,,,,,,,,,,,,
Matuail,Sign Board,,10,,,,,,,,,,,,,,,
Matuail,Star Kabab,,10,,,,,,,,,,,,,,,
Matuail,Station Road,,10,,,,,,,,,,,,,,,
Matuail,Taltola,,10,,,,,,,,,,,,,,,
Matuail,Technical,,10,,,,,,,,,,,,,,,
Matuail,Tongi,,10,,,,,,,,,,,,,,,
Matuail,Uttar Badda,,10,,,,,,,,,,,,,,,
Matuail,Uttara,,10,,,,,,,,,,,,,,,
Matuail,Zirani Bazar,,10,,,,,,,,,,,,,,,
Mayor Mohammad Hanif Flyover,Chasara Bus Stand,17.2,42,,,,,,,,,,,,,,,
Mayor Mohammad Hanif Flyover,Narayanganj,19,47,,,,,,,,,,,,,,,
Mayor Mohammad Hanif Flyover,Shanir Akhra,6,15,,,,,,,,,,,,,,,
Mayor Mohammad Hanif Flyover,Sign Board,9.3,23,,,,,,,,,,,,,,,
Mazar Road,Asad Gate,4.6,11,,,,,,,,,,,,,,,
Mazar Road,Bosila Bridge,7.6,19,,,,,,,,,,,,,,,
Mazar Road,Ghatar Char,10.4,25,,,,,,,,,,,,,,,
Mazar Road,Mirpur 1,1.2,10,,,,,,,,,,,,,,,
Mazar Road,Mohamamdpur Bus Stand,6.1,15,,,,,,,,,,,,,,,
Mazar Road,Shyamoli,4.4,11,,,,,,,,,,,,,,,
Mazar Road,Technical,2.8,10,,,,,,,,,,,,,,,
Md. Zillur Rahman Flyover,Badda,8.2,20,,,,,,,,,,,,,,,
Md. Zillur Rahman Flyover,Fakirapul,10.5,26,,,,,,,,,,,,,,,
Md. Zillur Rahman Flyover,Jatrabari,17.7,43,,,,,,,,,,,,,,,
Md. Zillur Rahman Flyover,Kakoli,2,10,,,,,,,,,,,,,,,
Md. Zillur Rahman Flyover,Kakrail,9.5,23,,,,,,,,,,,,,,,
Md. Zillur Rahman Flyover,Kamalapur Peer Janghi Mazar,11.5,28,,,,,,,,,,,,,,,
Md. Zillur Rahman Flyover,Kuril,3.5,10,,,,,,,,,,,,,,,
Md. Zillur Rahman Flyover,Malibagh,8.5,21,,,,,,,,,,,,,,,
Md. Zillur Rahman Flyover,Malibagh Chowdhuripara,10.9,27,,,,,,,,,,,,,,,
Md. Zillur Rahman Flyover,Mogbazar,7.5,18,,,,,,,,,,,,,,,
Md. Zillur Rahman Flyover,Mohakhali,3.8,10,,,,,,,,,,,,,,,
Md. Zillur Rahman Flyover,Mugda,14.9,37,,,,,,,,,,,,,,,
Md. Zillur Rahman Flyover,Notun Bazar,6,15,,,,,,,,,,,,,,,
Md. Zillur Rahman Flyover,Rampura,10.1,25,,,,,,,,,,,,,,,
Md. Zillur Rahman Flyover,Satrasta,6,15,,,,,,,,,,,,,,,
Md. Zillur Rahman Flyover,Sayedabad,16.7,41,,,,,,,,,,,,,,,
Meradia Bazar,Asad Gate,11.2,27,,,,,,,,,,,,,,,
Meradia Bazar,Banasree,2,10,,,,,,,,,,,,,,,
Meradia Bazar,Bangla Motor,7.5,18,,,,,,,,,,,,,,,
Meradia Bazar,Bosila,15.5,38,,,,,,,,,,,,,,,
Meradia Bazar,ECB Square,12.8,31,,,,,,,,,,,,,,,
Meradia Bazar,EPZ,52.4,128,,,,,,,,,,,,,,,
Meradia Bazar,Farmgate,9.5,23,,,,,,,,,,,,,,,
Meradia Bazar,Gabtoli,24.5,60,,,,,,,,,,,,,,,
Meradia Bazar,Hemayetpur,32.5,80,,,,,,,,,,,,,,,
Meradia Bazar,Jamuna Future Park,8.2,20,,,,,,,,,,,,,,,
Meradia Bazar,Kalshi,14.7,36,,,,,,,,,,,,,,,
Meradia Bazar,Kanchpur Bridge,13,32,,,,,,,,,,,,,,,
Meradia Bazar,Kuril,9.2,23,,,,,,,,,,,,,,,
Meradia Bazar,Madanpur,16.5,40,,,,,,,,,,,,,,,
Meradia Bazar,Mirpur 1,21.4,52,,,,,,,,,,,,,,,
Meradia Bazar,Mirpur 10,19.6,48,,,,,,,,,,,,,,,
Meradia Bazar,Mogbazar,6.3,15,,,,,,,,,,,,,,,
Meradia Bazar,Mohammadpur,12.5,31,,,,,,,,,,,,,,,
Meradia Bazar,Mouchak,5.3,13,,,,,,,,,,,,,,,
Meradia Bazar,Nandan Park,63,154,,,,,,,,,,,,,,,
Meradia Bazar,Rampura,2.8,10,,,,,,,,,,,,,,,
Meradia Bazar,Rampura Bridge,3,10,,,,,,,,,,,,,,,
Meradia Bazar,Savar,39.2,96,,,,,,,,,,,,,,,
Meradia Bazar,Staff Quarter,6.5,16,,,,,,,,,,,,,,,
Meradia Bazar,Sultana Kamal Bridge,8.5,21,,,,,,,,,,,,,,,
Meradia Bazar,Tarabo,10.5,26,,,,,,,,,,,,,,,
Meradia New Road,Asad Gate,13.7,34,,,,,,,,,,,,,,,
Meradia New Road,Banasree,3,10,,,,,,,,,,,,,,,
Meradia New Road,Gabtoli,16.9,41,,,,,,,,,,,,,,,
Meradia New Road,Kakrail,6.4,16,,,,,,,,,,,,,,,
Meradia New Road,Kallyanpur,16,39,,,,,,,,,,,,,,,
