From Point,To Point,Distance (km),Fare (BDT),,,,,,,,,,,,,,,
Agargaon,Jatrabari,13,32,,,,,,,,,,,,,,,
Agargaon,Kakoli,5.7,14,,,,,,,,,,,,,,,
Agargaon,Kallyanpur,2.5,10,,,,,,,,,,,,,,,
Agargaon,Kalshi,8.3,20,,,,,,,,,,,,,,,
Agargaon,Kamalapur,9.3,23,,,,,,,,,,,,,,,
Agargaon,Manik Mia Avenue,3.2,10,,,,,,,,,,,,,,,
Agargaon,Mirpur 10,3.8,10,,,,,,,,,,,,,,,
Agargaon,Mogbazar,5.5,13,,,,,,,,,,,,,,,
Agargaon,Mohakhali,3.9,10,,,,,,,,,,,,,,,
Agargaon,Mohammadpur Shia Mosque,4.1,10,,,,,,,,,,,,,,,
Agargaon,Motijheel,10.3,25,,,,,,,,,,,,,,,
Agargaon,Mouchak,6.6,16,,,,,,,,,,,,,,,
Agargaon,Nabinagar,35.9,88,,,,,,,,,,,,,,,
Agargaon,New Market,6.3,15,,,,,,,,,,,,,,,
Agargaon,Postogola,15,37,,,,,,,,,,,,,,,
Agargaon,Savar,17.5,43,,,,,,,,,,,,,,,
Agargaon,Sayedabad,12,29,,,,,,,,,,,,,,,
Agargaon,Shewrapara,1.7,10,,,,,,,,,,,,,,,
Agargaon,Shishu Mela,1.3,10,,,,,,,,,,,,,,,
Agargaon,Shukrabad,4.1,10,,,,,,,,,,,,,,,
Agargaon,Shyamoli,2.6,10,,,,,,,,,,,,,,,
Agargaon,Ring Road,2.6,10,,,,,,,,,,,,,,,
Agargaon,Uttara Jashimuddin,15.4,38,,,,,,,,,,,,,,,
Agla Bazar,Bagmara,6,15,,,,,,,,,,,,,,,
Agla Bazar,Bandura,12.8,31,,,,,,,,,,,,,,,
Agla Bazar,Baruakhali,18.6,46,,,,,,,,,,,,,,,
Agla Bazar,Boxnagar,3.8,10,,,,,,,,,,,,,,,
Agla Bazar,Khasiakhali Beribadh,23.3,57,,,,,,,,,,,,,,,
Agla Bazar,Majhir Kanda,10.2,25,,,,,,,,,,,,,,,
Agla Bazar,Nawabganj,6.9,17,,,,,,,,,,,,,,,
Agla Bazar,Shurganj,5.6,14,,,,,,,,,,,,,,,
Airport,Abdullahpur,3.7,10,,,,,,,,,,,,,,,
Airport,Ashulia,12.4,30,,,,,,,,,,,,,,,
Airport,Azampur,2.5,10,,,,,,,,,,,,,,,
Airport,Babubazar Bridge,19.5,48,,,,,,,,,,,,,,,
Airport,Badda,8.5,21,,,,,,,,,,,,,,,
Airport,Bagher Bazar,37.5,92,,,,,,,,,,,,,,,
Airport,Baipail,21.2,52,,,,,,,,,,,,,,,
Airport,Banani,8.7,21,,,,,,,,,,,,,,,
Airport,Bashabo,14.4,35,,,,,,,,,,,,,,,
Airport,Bishwaroad,3.7,10,,,,,,,,,,,,,,,
Airport,Board Bazar,11.4,28,,,,,,,,,,,,,,,
Airport,Bormi,57.7,141,,,,,,,,,,,,,,,
